Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:26:09

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
632.0000      	15822.7848    	4157.00000    
633.0000      	15797.7883    	43712.39844   
634.0000      	15772.8707    	65535.00000   
635.0000      	15748.0315    	9049.79980    
636.0000      	15723.2704    	3733.89990    
637.0000      	15698.5871    	3326.89990    
638.0000      	15673.9812    	3306.80005    
639.0000      	15649.4523    	3099.00000    
640.0000      	15625.0000    	3024.50000    
641.0000      	15600.6240    	3007.10010    
642.0000      	15576.3240    	2909.30005    
643.0000      	15552.0995    	2895.60010    
644.0000      	15527.9503    	2859.50000    
645.0000      	15503.8760    	2867.10010    
646.0000      	15479.8762    	2854.60010    
647.0000      	15455.9505    	2857.50000    
648.0000      	15432.0988    	2844.80005    
649.0000      	15408.3205    	2853.00000    
650.0000      	15384.6154    	2828.19995    
651.0000      	15360.9831    	2835.00000    
652.0000      	15337.4233    	2841.60010    
653.0000      	15313.9357    	2801.89990    
654.0000      	15290.5199    	2841.50000    
655.0000      	15267.1756    	2788.39990    
656.0000      	15243.9024    	2787.00000    
657.0000      	15220.7002    	2825.50000    
658.0000      	15197.5684    	2788.00000    
659.0000      	15174.5068    	2799.10010    
660.0000      	15151.5152    	2777.00000    
661.0000      	15128.5930    	2820.00000    
662.0000      	15105.7402    	2778.80005    
663.0000      	15082.9563    	2796.60010    
664.0000      	15060.2410    	2774.69995    
665.0000      	15037.5940    	2782.19995    
666.0000      	15015.0150    	2744.50000    
667.0000      	14992.5037    	2769.19995    
668.0000      	14970.0599    	2810.89990    
669.0000      	14947.6831    	2805.89990    
670.0000      	14925.3731    	2769.50000    
671.0000      	14903.1297    	2765.69995    
672.0000      	14880.9524    	2768.89990    
673.0000      	14858.8410    	2740.50000    
674.0000      	14836.7953    	2762.50000    
675.0000      	14814.8148    	2791.69995    
676.0000      	14792.8994    	2751.50000    
677.0000      	14771.0487    	2756.89990    
678.0000      	14749.2625    	2749.10010    
679.0000      	14727.5405    	2741.69995    
680.0000      	14705.8824    	2753.30005    
681.0000      	14684.2878    	2742.39990    
682.0000      	14662.7566    	2737.69995    
683.0000      	14641.2884    	2812.80005    
684.0000      	14619.8830    	2734.50000    
685.0000      	14598.5401    	2769.10010    
686.0000      	14577.2595    	2741.10010    
687.0000      	14556.0408    	2727.19995    
688.0000      	14534.8837    	2741.19995    
689.0000      	14513.7881    	2734.60010    
690.0000      	14492.7536    	2723.19995    
691.0000      	14471.7800    	2743.10010    
692.0000      	14450.8671    	2737.39990    
693.0000      	14430.0144    	2747.60010    
694.0000      	14409.2219    	2910.50000    
695.0000      	14388.4892    	2762.60010    
696.0000      	14367.8161    	2730.39990    
697.0000      	14347.2023    	2735.30005    
698.0000      	14326.6476    	2732.89990    
699.0000      	14306.1516    	2743.30005    
700.0000      	14285.7143    	2710.60010    
701.0000      	14265.3352    	2754.00000    
702.0000      	14245.0142    	2731.19995    
703.0000      	14224.7511    	3169.80005    
704.0000      	14204.5455    	3851.50000    
705.0000      	14184.3972    	2903.10010    
706.0000      	14164.3059    	3466.39990    
707.0000      	14144.2716    	19565.80078   
708.0000      	14124.2938    	8779.29980    
709.0000      	14104.3724    	3855.80005    
710.0000      	14084.5070    	2773.30005    
711.0000      	14064.6976    	2774.80005    
712.0000      	14044.9438    	2781.30005    
713.0000      	14025.2454    	2780.80005    
714.0000      	14005.6022    	2728.80005    
715.0000      	13986.0140    	2755.60010    
716.0000      	13966.4804    	2737.19995    
717.0000      	13947.0014    	2748.80005    
718.0000      	13927.5766    	2998.10010    
719.0000      	13908.2058    	3216.39990    
720.0000      	13888.8889    	2780.50000    
721.0000      	13869.6255    	2737.80005    
722.0000      	13850.4155    	2720.69995    
723.0000      	13831.2586    	2734.10010    
724.0000      	13812.1547    	2757.39990    
725.0000      	13793.1034    	3355.00000    
726.0000      	13774.1047    	4489.10010    
727.0000      	13755.1582    	2861.50000    
728.0000      	13736.2637    	2788.00000    
729.0000      	13717.4211    	5594.29980    
730.0000      	13698.6301    	4372.39990    
731.0000      	13679.8906    	2935.30005    
732.0000      	13661.2022    	2970.10010    
733.0000      	13642.5648    	2777.19995    
734.0000      	13623.9782    	2753.30005    
735.0000      	13605.4422    	2777.19995    
736.0000      	13586.9565    	2761.60010    
737.0000      	13568.5210    	2754.60010    
738.0000      	13550.1355    	2829.19995    
739.0000      	13531.7997    	2780.69995    
740.0000      	13513.5135    	2797.39990    
741.0000      	13495.2767    	2813.30005    
742.0000      	13477.0889    	2773.50000    
743.0000      	13458.9502    	2789.00000    
744.0000      	13440.8602    	2873.10010    
745.0000      	13422.8188    	3304.60010    
746.0000      	13404.8257    	2925.50000    
747.0000      	13386.8809    	2825.19995    
748.0000      	13368.9840    	3065.10010    
749.0000      	13351.1348    	3308.89990    
750.0000      	13333.3333    	4894.39990    
751.0000      	13315.5792    	3187.30005    
752.0000      	13297.8723    	2904.00000    
753.0000      	13280.2125    	2860.39990    
754.0000      	13262.5995    	3954.89990    
755.0000      	13245.0331    	4796.10010    
756.0000      	13227.5132    	3457.69995    
757.0000      	13210.0396    	3040.50000    
758.0000      	13192.6121    	2978.89990    
759.0000      	13175.2306    	2990.89990    
760.0000      	13157.8947    	2985.69995    
761.0000      	13140.6045    	2945.19995    
762.0000      	13123.3596    	2958.60010    
763.0000      	13106.1599    	2963.00000    
764.0000      	13089.0052    	3036.69995    
765.0000      	13071.8954    	3026.69995    
766.0000      	13054.8303    	3060.39990    
767.0000      	13037.8096    	3044.50000    
768.0000      	13020.8333    	3026.19995    
769.0000      	13003.9012    	3059.30005    
770.0000      	12987.0130    	3089.10010    
771.0000      	12970.1686    	3208.50000    
772.0000      	12953.3679    	3218.50000    
773.0000      	12936.6106    	3189.19995    
774.0000      	12919.8966    	3332.50000    
775.0000      	12903.2258    	3281.89990    
776.0000      	12886.5979    	3242.80005    
777.0000      	12870.0129    	3170.39990    
778.0000      	12853.4704    	3251.39990    
779.0000      	12836.9705    	3211.60010    
780.0000      	12820.5128    	3182.10010    
781.0000      	12804.0973    	3206.89990    
782.0000      	12787.7238    	3247.69995    
783.0000      	12771.3921    	3229.10010    
784.0000      	12755.1020    	3264.89990    
785.0000      	12738.8535    	3316.50000    
786.0000      	12722.6463    	3381.50000    
787.0000      	12706.4803    	3373.39990    
788.0000      	12690.3553    	3365.60010    
